"ref","N_Predictor","N_Response","methods","variable","variable_cat","error_distribution","data_available","species","obs_method","obs_period_hours","obs_period_hours_mean","single_obs_period_length","mean_rate","sd","pooled","pooled_groups","units","units_hours","mean_chicks_or_adults","per_chick","notes"
87,NA,"1","LM","visits","number","Gaussian","TRUE","pied flycatcher Ficedula hypoleuca","automated","median 10 mins?",0.1666667,TRUE,0.499,0.2788603,FALSE,NA,"visits/min",0.01666667,NA,FALSE,"pooled during; extracted from SM; time period a bit unclear - median 10 mins?"
87,NA,"2","LM","visits","number","Gaussian","TRUE","pied flycatcher Ficedula hypoleuca","automated","median 10 mins?",0.1666667,TRUE,0.383,0.1876475,FALSE,NA,"visits/min",0.01666667,NA,FALSE,"neighbour during; extracted from SM; time period a bit unclear - median 10 mins?"
137,NA,"1","LMM","visits","number","Gaussian","FALSE","tree swallow Tachycineta bicolor","direct","1",1,TRUE,5.919355,3.127343,FALSE,NA,"visits/hour",1,NA,FALSE,"pooled sexes; extracted from fig 2"
137,1,"2","LMM","visits","number","Gaussian","FALSE","tree swallow Tachycineta bicolor","direct","1",1,TRUE,5.516129,3.031732,FALSE,NA,"visits/hour",1,NA,FALSE,"females; extracted from fig 2"
137,1,"2","LMM","visits","number","Gaussian","FALSE","tree swallow Tachycineta bicolor","direct","1",1,TRUE,6.322581,3.218562,FALSE,NA,"visits/hour",1,NA,FALSE,"males; extracted from fig 2"
137,NA,"1","LMM","visits","number","Gaussian","FALSE","tree swallow Tachycineta bicolor","direct","1",1,TRUE,6.941176,3.283948,FALSE,NA,"visits/hour",1,NA,FALSE,"subset; extracted from fig 3c"
164,2,"1","LMM","visits","number","Gaussian","FALSE","yellowhammer Emberiza citrinella","direct","1",1,TRUE,6.58,4.15,FALSE,NA,"visits/hour",1,NA,FALSE,"extracted form fig 1"
178,NA,"1","LM","visits","number","Gaussian","FALSE","house martin Delichon urbica","direct","1",1,TRUE,5.9,2.25,FALSE,NA,"visits/hour",1,NA,FALSE,"age1 1st clutch 2012"
178,NA,"1","LM","visits","number","Gaussian","FALSE","house martin Delichon urbica","direct","1",1,TRUE,6.63,2.7,FALSE,NA,"visits/hour",1,NA,FALSE,"age1 1st clutch 2013"
178,NA,"1","LM","visits","number","Gaussian","FALSE","house martin Delichon urbica","direct","1",1,TRUE,7.63,2.78,FALSE,NA,"visits/hour",1,NA,FALSE,"age2 1st clutch 2012"
178,NA,"1","LM","visits","number","Gaussian","FALSE","house martin Delichon urbica","direct","1",1,TRUE,7.54,3.01,FALSE,NA,"visits/hour",1,NA,FALSE,"age2 1st clutch 2013"
178,NA,"1","LM","visits","number","Gaussian","FALSE","house martin Delichon urbica","direct","1",1,TRUE,5.44,2.55,FALSE,NA,"visits/hour",1,NA,FALSE,"age3 1st clutch 2012"
178,NA,"1","LM","visits","number","Gaussian","FALSE","house martin Delichon urbica","direct","1",1,TRUE,6.15,3.62,FALSE,NA,"visits/hour",1,NA,FALSE,"age3 1st clutch 2013"
178,NA,"1","LM","visits","number","Gaussian","FALSE","house martin Delichon urbica","direct","1",1,TRUE,5.88,3.36,FALSE,NA,"visits/hour",1,NA,FALSE,"age1 2nd clutch 2012"
178,NA,"1","LM","visits","number","Gaussian","FALSE","house martin Delichon urbica","direct","1",1,TRUE,6.42,1.5,FALSE,NA,"visits/hour",1,NA,FALSE,"age1 2nd clutch 2013"
178,NA,"1","LM","visits","number","Gaussian","FALSE","house martin Delichon urbica","direct","1",1,TRUE,5.93,2.56,FALSE,NA,"visits/hour",1,NA,FALSE,"age2 2nd clutch 2012"
178,NA,"1","LM","visits","number","Gaussian","FALSE","house martin Delichon urbica","direct","1",1,TRUE,5.91,2.64,FALSE,NA,"visits/hour",1,NA,FALSE,"age2 2nd clutch 2013"
178,NA,"1","LM","visits","number","Gaussian","FALSE","house martin Delichon urbica","direct","1",1,TRUE,3,2.29,FALSE,NA,"visits/hour",1,NA,FALSE,"age3 2nd clutch 2012"
178,NA,"1","LM","visits","number","Gaussian","FALSE","house martin Delichon urbica","direct","1",1,TRUE,3.91,2.54,FALSE,NA,"visits/hour",1,NA,FALSE,"age3 2nd clutch 2013"
184,2,"4","LMM","visits","number","Gaussian","FALSE","European starling Sturnus vulgaris","direct","0.5",0.5,TRUE,6.96,3.132092,FALSE,NA,"visits/30min",0.5,NA,FALSE,"total"
184,2,"5","LMM","visits","number","Gaussian","FALSE","European starling Sturnus vulgaris","direct","0.5",0.5,TRUE,4.38,2.296867,FALSE,NA,"visits/30min",0.5,NA,FALSE,"female"
184,2,"4","LMM","visits","number","Gaussian","FALSE","European starling Sturnus vulgaris","direct","0.5",0.5,TRUE,2.54,2.40127,FALSE,NA,"visits/30min",0.5,NA,FALSE,"male"
196,NA,"1","GLMM","visits","number","Poisson","FALSE","wood warbler Phylloscopus sibilatrix","video","1",1,TRUE,14,13.19091,FALSE,NA,"visits/hour",1,NA,FALSE,NA
200,2,"2","GLMM","visits","number","Poisson","FALSE","chestnut-crowned babbler Pomatostomus ruficeps","automated","9.6 ± 3.7 h/day",9.6,FALSE,0.96,NA,FALSE,NA,"visits/hour",9.6,NA,FALSE,"helper males; from model estimate"
