"ref","common_name","scientific_name","obs_method","obs_period_hours","obs_period_hours_mean","single_obs_period_length","mean_rate","mean_rate_use","sd","se","n","pooled","pooled_groups","units","units_hours","mean_chicks_or_adults","notes"
92,"Arabian Babbler","Turdoides squamiceps","direct","2",2,TRUE,"21.18",21.18,5.94,NA,10,NA,NA,"visits/hour",1,NA,"for control periods (all nestlings present); presume direct observation (""observations were made from a distance of about 1 m"")."
94,"Long-tailed Tit","Aegithalos caudatus","direct","0.87 (average; range = 0.5-2)",0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rates not presented"
96,"Eastern Phoebe","Sayornis phoebe","video","2",2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rates not presented"
97,"Fire-eyed Diucon","Xolmis pyrope","video","1",1,TRUE,"4.157894737",4.157894737,2.267234191,NA,19,NA,NA,"visits/hour/nestling",1,NA,"mean and SD calculated manually off points in fig. 1c (to nearest integer)"
100,"Syrian Woodpecker","Dendrocopos syriacus","mixed direct + video","2",2,TRUE,"7.95",7.95,2.01,NA,11,NA,NA,"visits/hour",1,NA,"not stated whether SD or SE assume SD; mean rate for both parents combined"
101,"European Starling","Sturnus vulgaris","direct","0.5",0.5,TRUE,"1.2",1.2,NA,"0.2",32,NA,NA,"visits/hour/nestling",1,NA,"control treatment; not stated whether SE or SD assume SE"
102,"Undulated Antshrike","Frederickena unduliger","automated","continuous",NA,NA,"1.9",1.9,0.5,NA,NA,NA,NA,"visits/hour",1,NA,"one nest, two carers (assumed from sexual dimorphism), but not stated how many hours of observation the mean was calculated from"
103,"Blue Tit","Cyanistes caeruleus","video","0.75",0.75,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rates not presented"
105,"Blue Tit","Cyanistes caeruleus","video","1",1,TRUE,"25.3075",25.3075,11.67847,NA,NA,NA,NA,"visits/hour",1,NA,"two analyses"
114,"Blue Tit","Cyanistes caeruleus","video","2",2,TRUE,"0.4024075",0.4024075,0.205126238,NA,400,NA,NA,"visits/min",0.01666666667,NA,"data from GraphClick"
120,"Arctic Tern","Sterna paradisaea","direct","3",3,TRUE,"3.26",3.26,0.6957011,NA,NA,FALSE,NA,"visits/hour",1,NA,NA
120,"Common Tern","Sterna hirundo","direct","3",3,TRUE,"3.06",3.06,0.9803061,NA,NA,FALSE,NA,"visits/hour",1,NA,NA
123,"Blue Tit","Cyanistes caeruleus","video","2",2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rates not reported"
124,"Eastern Kingbird","Tyrannus tyrannus","video","1-4",2.5,NA,"4.94",4.94,NA,"0.424",49,NA,NA,"visits/hour",1,NA,"males"
