"mean","R2_lm","R2_mem"
1.08,0.164604799148839,0.64708140659472
1.16,0.13271629140952,0.607020129832416
1.25,0.0239569262533639,0.55410264579326
1.41,0.0718999474579222,0.540569604607303
1.3,0.0141804729782182,0.165507645623706
1.42,0.0740506561586985,0.292871146761044
1.82,0.252640573457374,0.984444643271059
1.79,0.0943520690445653,0.393337327448956
2.14,0.193550239741554,0.716454227436735
2.26,0.0925517391986904,0.642897361609842
2.07,0.00793900734096457,0.453194481995388
2.45,0.0858642489750306,0.719235804316583
2.7,0.0741444033149064,0.670476828181127
2.72,0.0789710477555839,0.687763770031287
2.75,0.0177924020439969,0.382309026801626
3.31,0.0585334193564124,0.629877657461425
2.94,0.0678778343703342,0.646618157945232
3.01,0.187364894081604,0.53456718828666
2.84,0.126029512022759,0.99982266688868
3.77,0.0792984624112493,0.477777826190257
3.83,0.0957308281263343,0.449190222126052
4.19,0.2330276754945,0.971550564481875
4.22,0.0404398688718434,0.629046516831349
3.71,0.208163173842478,0.661351235604847
4.07,0.174470712986538,0.48976933818282
4.24,0.262148875358445,0.701347471594535
4.94,0.129263346408746,0.887491200257177
5.33,0.16659512592775,0.599107292631126
4.83,0.0192754038105833,0.333631595210368
5.61,0.228013910779926,0.638170414728298
5.81,0.290177920093637,0.679751328886868
5.88,0.445761084917527,0.808615503242645
5.77,0.148014952802255,0.459877002068792
6.25,0.204867855314134,0.771069849397843
7.27,0.22583383109613,0.693496246009931
7.49,0.28817329771678,0.590415917380509
7.18,0.0856397800993243,0.194917583606558
7.93,0.197868208812568,0.805027272345373
7.66,0.203116930215374,0.363032401670305
7.8,0.13797461933613,0.598528737460137
7.2,0.204053510259328,0.568340351365851
8.7,0.211710378706443,0.434551630112978
8.02,0.164899927889713,0.321942185514657
9.33,0.256315924406781,0.550030017877775
9.4,0.240283006445473,0.578118394799653
10.41,0.206595005405743,0.382697790079249
9.8,0.187336365640002,0.401319021085263
9.96,0.30516058687788,0.522417641939807
10.38,0.124606184434487,0.368823365730736
10.44,0.177919661286851,0.440536771913288
