"mean","R2_lm","R2_pois"
1.08,0.0711178796185611,1
1.16,0.0125042741101713,0.0886934723122077
1.25,0.0124430106846364,0.0547419862020937
1.41,0.0388164473979667,0.402585038462068
1.3,0.0510120903943803,0.248287375855764
1.42,0.0491828197557574,0.236450853527792
1.82,0.0540988673845588,1
1.79,0.185563692052676,0.68193577982652
2.14,0.0722283502687433,1
2.26,0.0752289064221608,0.198493345001536
2.07,0.0114830292653864,1
2.45,0.138285546270315,0.580365883110751
2.7,0.0210855581873718,0.158374073584754
2.72,0.0609853230189259,0.224206365600678
2.75,0.0833625026930877,1
3.31,0.0463992684006199,0.314109958899891
2.94,0.102662676548607,0.836882846598306
3.01,0.108848398757833,0.375293620491554
2.84,0.130848390484433,1
3.77,0.101338999363378,0.550904021765583
3.83,0.156675421696021,0.748765860350842
4.19,0.222254355241002,0.882603738546642
4.22,0.0701915527855735,0.295311227649426
3.71,0.124335441345889,0.794832573923123
4.07,0.148357215621128,0.749954009722812
4.24,0.187676061921784,0.519805741227851
4.94,0.125101551564097,0.615755338528918
5.33,0.189541088910364,0.790077596577426
4.83,0.0416109109802374,0.236850263909266
5.61,0.180832658799694,0.674345240095537
5.81,0.178388639902417,0.45735708580866
5.88,0.210521823304086,0.551939290275355
5.77,0.313848191695401,1
6.25,0.229577819818967,0.693788011514166
7.27,0.180385373765659,0.583200376348989
7.49,0.231267530597737,0.521595228171193
7.18,0.196008546530453,0.466895862216524
7.93,0.248553344051527,1
7.66,0.219849541067257,0.5332600223002
7.8,0.19043875386075,0.448448230868767
7.2,0.194271036953258,0.581144708932424
8.7,0.256169287463372,0.615092954743039
8.02,0.265895762957637,0.582135242533664
9.33,0.247481548659721,0.55675481612433
9.4,0.206981399349119,0.537747643910619
10.41,0.33264418512277,0.601372042719302
9.8,0.207056090326437,0.436665181343784
9.96,0.376827828211192,0.670224049878015
10.38,0.288464758790957,0.735973988386022
10.44,0.162413757103511,0.387907037519162
10.59,0.245721292969934,0.521294701061758
11.95,0.267238135135631,0.567224843929075
12.49,0.217969111102614,0.526412792259384
11.27,0.153287573693344,0.299186488436117
12.1,0.0903280739077029,0.220158142204846
11.96,0.158653271048814,0.297402627087825
13.24,0.186901446535461,0.395986303300423
13,0.242910931849207,0.429628603993174
14,0.340914589952803,0.637128231237593
13.99,0.349070739514047,0.709382853219117
14.79,0.418702612403981,0.731992448161231
14.05,0.264568337553085,0.498598319518234
14.91,0.238097652513749,0.396778244908899
15.85,0.237204815615161,0.400263313355827
15.75,0.387166380842083,0.602721665913455
16.81,0.208917756421674,0.395395002973099
16.91,0.307385076079776,0.65717187721617
17.79,0.277568259355857,0.483430960235673
17.37,0.296682258753139,0.520951552859674
18.31,0.217341730899411,0.410196982524034
19.47,0.254546513708136,0.418798313757695
18.12,0.310066599387496,0.514176554193206
19.59,0.310562073290964,0.513947165650682
19.99,0.437409027179771,0.667207699359634
19.92,0.353415813221519,0.552992334447041
19.06,0.317484550983931,0.519123994165125
19.88,0.475351429087177,0.680201827622202
22.94,0.296232551392181,0.457948508675187
21.92,0.231157020634866,0.356632516507241
20.6,0.331489775618964,0.530207456467621
22.02,0.254951488427152,0.414624092861038
21.76,0.299000374965079,0.500756640948154
23.78,0.333571579265011,0.470067215915329
24.23,0.361870136850722,0.569024790471136
24.58,0.357402646514157,0.527274144739234
23.91,0.340951926639715,0.46770633880512
24.91,0.255278017172358,0.38052340751043
25.98,0.345313495150338,0.528408851042086
25.41,0.276520208417042,0.420342721849315
25.33,0.320461408454805,0.474112437424066
25.5,0.245843919370394,0.372153316807856
