"mean","R2_lm","R2_pois"
83.41,0.360490949633141,0.431878895156979
77.81,0.384618657207917,0.488296016237528
83.84,0.431351132344434,0.519396356978651
81.6,0.460077249908788,0.559989568453286
76.56,0.472978069917774,0.615865274903243
85.21,0.395920593019337,0.477920226629851
84.16,0.412221776701351,0.499430839798407
84.05,0.444362857680366,0.542668833009187
90.97,0.364929472715383,0.430074389823297
86.36,0.38979069502079,0.44175003070982
95.5,0.318810414048495,0.455492354216479
83.71,0.4339112780613,0.533294970774322
92.93,0.354125893020437,0.41962982553659
95.57,0.528457797075203,0.610272313906716
96.28,0.415081822549169,0.494584947124387
97,0.402467096705275,0.470263913049438
92.21,0.527263591156601,0.649288215570899
89.91,0.266807160490501,0.333491874452475
95.5,0.455896544232245,0.523428460771623
91.54,0.506612951884434,0.599697709160206
98.77,0.327606119079836,0.419520257209438
95.66,0.363205943087234,0.447556329773423
99.61,0.301279598091956,0.38367286797081
104.18,0.464729407320125,0.544168472186685
101.53,0.339759823269253,0.411589099571896
104.29,0.484737158795218,0.58210915321323
103.62,0.403897216750941,0.434308647771773
100.71,0.442524997993346,0.5022116459132
101.32,0.315486866669477,0.391779790499417
