"time","ICC","mean"
15,0.234606594834449,2.04454300038565
30,0.357140941413661,4.10711462450593
45,0.428944633056122,6.17396593673966
60,0.455576707211244,8.21518987341772
75,0.47524556882904,10.2742574257426
90,0.540802740981643,12.476253298153
105,0.548126832837882,14.5883280757098
120,0.55203198998824,16.4301587301587
135,0.588545595521604,18.7114624505929
150,0.56284792956006,20.5575396825397
165,0.574961479602469,22.9921052631579
180,0.621962798763639,24.9444444444444
195,0.646330023196785,26.7380952380952
210,0.601170121490629,29.1259842519685
225,0.586107351221093,31.3293650793651
240,0.599238862251342,33.5555555555556
255,0.631957728429136,35.484126984127
270,0.641770721476809,37.4642857142857
285,0.654504705712415,39.3134920634921
300,0.65790265552711,41.1150793650794
